City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
109,wamba,64,CD,1542433624,94,2.14,70.55,2.93,27.99
110,santo tomas,44,PH,1542433624,75,17.4,82.93,4.94,121.77
111,isla mujeres,20,MX,1542429780,93,21.23,64.4,2.24,-86.73
112,zaraza,0,VE,1542433625,93,9.35,73.88,6.4,-65.33
113,lompoc,90,US,1542432900,86,34.64,59.0,2.04,-120.46
114,barranca,88,PE,1542433625,100,-10.75,61.82,13.44,-77.76
115,bethel,90,US,1542430380,95,60.79,32.0,5.82,-161.76
116,saint george,75,GR,1542430200,76,39.45,50.0,19.46,22.34
117,gaoual,12,GN,1542433464,84,11.75,67.0,3.6,-13.2
118,mongomo,48,GA,1542433628,97,1.63,69.92,2.71,11.31
119,tuktoyaktuk,40,CA,1542430800,76,69.44,-4.01,11.41,-133.03
120,lieksa,0,FI,1542433628,89,63.32,38.15,7.63,30.02
121,klaksvik,0,FO,1542432000,93,62.23,48.2,12.75,-6.59
122,hilo,90,US,1542430560,87,19.71,75.02,6.93,-155.08
123,ribeira grande,80,PT,1542433629,100,38.52,62.68,31.9,-28.7
124,nouakchott,92,MR,1542433629,99,18.08,69.97,11.1,-15.98
125,kapaa,90,US,1542430560,79,22.08,77.0,23.04,-159.32
126,tongliao,24,CN,1542433630,44,43.61,36.85,5.28,122.27
127,sciacca,20,IT,1542430500,87,37.51,53.6,2.24,13.08
128,isangel,12,VU,1542433630,100,-19.55,75.5,13.0,169.27
129,hobart,75,AU,1542430800,67,-42.88,57.2,19.46,147.33
130,nouadhibou,0,MR,1542430800,88,20.93,62.6,9.17,-17.03
131,mackay,5,CA,1542430800,84,53.65,3.2,2.48,-115.58
132,westport,20,IE,1542433536,93,53.8,53.77,19.37,-9.52
133,dawlatabad,68,AF,1542433633,100,36.41,48.1,4.61,64.91
134,foz do iguacu,0,BR,1542430800,83,-25.55,73.4,2.24,-54.59
135,dingle,0,PH,1542433633,63,11.0,87.47,12.66,122.67
136,port macquarie,40,AU,1542430800,64,-31.43,73.4,19.46,152.91
137,lazaro cardenas,56,MX,1542433634,64,28.39,37.79,2.71,-105.62
138,lata,0,IN,1542433634,67,30.78,51.47,1.92,78.62
139,shache,0,CN,1542433634,65,38.42,38.6,4.94,77.24
140,novikovo,44,UA,1542433635,100,45.05,38.69,5.17,34.56
141,sterling,40,US,1542431700,70,39.0,44.96,10.29,-77.4
142,tasiilaq,20,GL,1542430200,59,65.61,35.6,38.03,-37.64
143,silvan,40,TR,1542430200,87,38.14,44.6,5.82,41.01
144,puerto ayora,68,EC,1542433636,100,-0.74,72.8,11.54,-90.35
145,sao filipe,0,CV,1542433636,100,14.9,74.65,14.12,-24.5
146,praia da vitoria,40,PT,1542430800,93,38.73,53.6,29.1,-27.07
147,saint-philippe,90,CA,1542432060,86,45.36,30.2,10.29,-73.48
148,santa maria do para,8,BR,1542433637,88,-1.35,75.32,6.73,-47.58
149,leningradskiy,32,RU,1542433637,100,69.38,12.82,3.94,178.42
150,aqtobe,0,KZ,1542433638,67,50.28,12.32,3.94,57.21
